d1;d2;d3;x_we;y_we;X_wy;Y_wy
4,075806523;7,480090954;6,548588153;-3;-2,8;-2,903888163;-2,86397114
3,999928678;7,391066427;6,242007695;-3;-2,6;-3,012698142;-2,550980839
3,822394399;7,352963707;6,191744576;-3;-2,4;-2,931187174;-2,453599668
3,729511582;7,278418528;5,968309197;-3;-2,2;-2,964156025;-2,226067539
3,42496429;7,206705591;5,7591899;-3;-2;-2,896282435;-1,877292443
3,405835089;7,103770123;5,674043762;-3;-1,8;-2,834782945;-1,898679677
3,443840786;7,202306452;5,469106133;-3;-1,6;-3,043628275;-1,582519107
3,220684303;7,170373733;5,318256561;-3;-1,4;-3,009134448;-1,202487301
3,212062008;7,010368786;5,129445981;-3;-1,2;-2,916077379;-1,290088001
3,070100414;7,013475476;4,972799303;-3;-1;-2,931832028;-0,945639321
3,019479424;6,949450363;4,81767495;-3;-0,8;-2,897438645;-0,849470137
2,986080946;7,02303409;4,605400588;-3;-0,6;-1,582615888;-0,34611446
2,967055825;6,90064077;4,539520968;-3;-0,4;-2,887972427;-0,597716717
2,948190073;6,940511726;4,295845299;-3;-0,2;-2,939849585;-0,180011138
2,930177012;6,90411485;4,17612848;-3;0;-2,90643299;0,178411064
2,932914011;7,003750092;4,108479135;-3;0,2;-1,583619756;0,104958463
3,018345541;7,010616709;3,897994423;-3;0,4;-2,992118134;0,424662411
3,01688105;6,988263333;3,734050436;-3;0,6;-2,951587262;0,65121893
3,03831329;6,971396259;3,641091403;-3;0,8;-2,922085009;0,830777995
3,009867759;7,107790625;3,561198244;-3;1;-1,567840621;0,669846934
3,180560296;7,03315429;3,487158578;-3;1,2;-2,940842734;1,183726388
3,256863592;7,084393386;3,388642714;-3;1,4;-2,955216858;1,360713704
3,345891819;7,136390267;3,281029131;-3;1,6;-2,95975102;1,566993696
3,419281459;7,236965691;3,169270636;-3;1,8;-2,995499254;1,721814608
3,56378503;7,254582285;3,125090481;-3;2;-2,971894497;1,982332043
3,66927878;7,272703003;3,144101151;-3;2,2;-2,975667521;2,108514432
3,743039931;7,343953938;3,06578761;-3;2,4;-2,982714386;2,267173071
3,81681299;7,372943344;3,051917985;-3;2,6;-2,981945296;2,376577697
4,092323004;7,543946552;2,981702889;-3;2,8;-2,991588147;2,811916007
4,082941157;7,533843725;2,882458712;-3;3;-2,924415153;2,905759463
4,30326478;7,729475678;2,934251743;-3;3,2;-2,991620212;3,193510402
4,343748671;7,44796153;6,712660618;-2,8;-3,2;-2,868178845;-3,160059573
4,10311494;7,448249165;6,539745108;-2,8;-3;-2,89304311;-2,889682483
3,900223107;7,301597476;6,445020388;-2,8;-2,8;-2,703663263;-2,826865907
