d1+Su;d2+Su;d3+Su;d1;d2;d3;x_we;y_we;x_wy;y_wy
3,118808748;5,165699026;6,134299729;3,2;5,12249939;6,2;0;-3,2;-0,075638373;-1,746238107
2,978219673;5,039033319;5,947334831;3;5;6;0;-3;-0,251489876;-2,947008914
2,632927077;4,830814649;5,756481647;2,8;4,882622246;5,8;0;-2,8;-0,006046637;-1,482437307
2,561993708;4,732994759;5,562729604;2,6;4,770744177;5,6;0;-2,6;0,013822715;-1,392868218
2,342210512;4,581387651;5,273373519;2,4;4,664761516;5,4;0;-2,4;0,276657834;-2,278377513
2,220492535;4,473848286;5,08423099;2,2;4,565084884;5,2;0;-2,2;0,382618009;-2,096025582
1,991966955;4,39856934;5,006676578;2;4,472135955;5;0;-2;0,054440624;-1,047512587
1,817641518;4,234650143;4,790474177;1,8;4,38634244;4,8;0;-1,8;0,24265591;-1,790478398
1,626671289;4,30307105;4,592022378;1,6;4,308131846;4,6;0;-1,6;0,143739561;-1,597349132
1,380616807;4,212305942;4,415311375;1,4;4,23792402;4,4;0;-1,4;0,017703974;-0,693681636
1,160585776;4,19707315;4,101764906;1,2;4,176122604;4,2;0;-1,2;-0,169831783;-1,113715701
1,015664769;4,071373178;4,030784118;1;4,123105626;4;0;-1;0,039436674;-0,480199352
0,689183071;4,008094542;3,699990742;0,8;4,079215611;3,8;0;-0,8;0,034963562;-0,305273924
0,553011749;4,024104808;3,470672828;0,6;4,044749683;3,6;0;-0,6;0,109840276;-0,493376309
0,285947529;4,071147618;3,385389859;0,4;4,019950248;3,4;0;-0,4;-0,038196681;-0,14351987
0,169504077;3,868428109;3,093490351;0,2;4,004996879;3,2;0;-0,2;0,136390409;-0,095296266
-0,020452619;3,935598169;3,005328414;0;4;3;0;0;0,034949371;-0,003314003
0,240741097;3,828306266;2,803916544;0,2;4,004996879;2,8;0;0,2;0,162417242;0,188688022
0,33411881;3,930938156;2,605013921;0,4;4,019950248;2,6;0;0,4;0,057221401;0,353780805
0,488026052;3,992808173;2,387980146;0,6;4,044749683;2,4;0;0,6;0,030528298;0,536110787
0,830100821;4,066130632;2,111246335;0,8;4,079215611;2,2;0;0,8;0,017295989;0,855175451
1,043293405;4,093789244;1,968518096;1;4,123105626;2;0;1;0,06876583;1,036634433
1,175280091;4,05914736;1,774178957;1,2;4,176122604;1,8;0;1,2;0,081736888;1,198660043
1,446161329;4,244218872;1,53334179;1,4;4,23792402;1,6;0;1,4;0,009081512;1,456331335
1,520827676;4,15828829;1,391929049;1,6;4,308131846;1,4;0;1,6;0,099165789;1,566759467
1,719736341;4,291080206;1,185268197;1,8;4,38634244;1,2;0;1,8;0,060778512;1,771533853
1,968335462;4,423588222;0,99087961;2;4,472135955;1;0;2;0,03279636;1,991453471
2,184894794;4,467561621;0,684960806;2,2;4,565084884;0,8;0;2,2;0,099559199;2,270125994
2,340656966;4,684000248;0,568271152;2,4;4,664761516;0,6;0;2,4;-0,020375151;2,395207683
2,502372064;4,705710054;0,232356998;2,6;4,770744177;0,4;0;2,6;0,067670149;2,702050314
2,727347807;4,757309537;0,13360978;2,8;4,882622246;0,2;0;2,8;0,070031566;2,834445384
2,901907307;4,938353536;-0,122593292;3;5;0;0;3;-0,027021767;2,893668286
3,138365794;5,068104408;0,141393471;3,2;5,12249939;0,2;0;3,2;0,023938112;3,138753038
3,10660834;4,884470409;6,193525737;3,206243908;4,967896939;6,203224968;0,2;-3,2;0,174140108;-1,760917061
2,970346837;4,727495821;5,928740288;3,006659276;4,841487375;6,003332408;0,2;-3;0,429366956;-2,921331166
2,774354988;4,674839163;5,871303642;2,80713377;4,720169488;5,803447251;0,2;-2,8;0,178473065;-1,55515939
2,493619212;4,610547246;5,515132313;2,607680962;4,604345773;5,60357029;0,2;-2,6;0,085091394;-1,356707609
2,418214215;4,515408892;5,35158362;2,408318916;4,494441011;5,403702434;0,2;-2,4;0,359175156;-2,35319566
2,15134078;4,355180896;5,245279915;2,209072203;4,39089968;5,203844733;0,2;-2,2;0,157363218;-1,169120202
1,906353835;4,282815205;4,921003402;2,009975124;4,294182111;5,003998401;0,2;-2;0,110812116;-0,993292643
1,774831906;4,127610074;4,717785687;1,811077028;4,204759208;4,80416486;0,2;-1,8;0,355604062;-1,717041756
1,470188434;4,145352578;4,498379027;1,61245155;4,123105626;4,604345773;0,2;-1,6;0,08553187;-0,740838305
1,407526591;3,977670369;4,380787956;1,414213562;4,049691346;4,404543109;0,2;-1,4;0,288771133;-1,374143474
1,189147308;3,873794209;4,147703322;1,216552506;3,984971769;4,204759208;0,2;-1,2;0,321128327;-1,139685976
0,911427228;3,842848594;3,963808816;1,019803903;3,929376541;4,004996879;0,2;-1;0,178528564;-0,422470492
0,739758441;3,780527337;3,657665256;0,824621125;3,883297568;3,805259518;0,2;-0,8;0,310218452;-0,656598044
0,56657812;3,868503458;3,622582902;0,632455532;3,847076812;3,605551275;0,2;-0,6;0,116939898;-0,250981678
0,386100319;3,793618222;3,345144423;0,447213595;3,820994635;3,405877273;0,2;-0,4;0,207938871;-0,331821155
0,199794884;3,768754402;3,142931891;0,282842712;3,805259518;3,206243908;0,2;-0,2;0,192622087;-0,091347636
0,184885314;3,792505894;2,943263176;0,2;3,8;3,006659276;0,2;0;0,189396086;0,042038131
0,200543576;3,696429457;2,778727797;0,282842712;3,805259518;2,80713377;0,2;0,2;0,17241374;0,146941917
0,412987419;3,79543993;2,639391585;0,447213595;3,820994635;2,607680962;0,2;0,4;0,210659585;0,362159825
0,6305906;3,768283973;2,385057162;0,632455532;3,847076812;2,408318916;0,2;0,6;0,228081771;0,605947712
0,806349193;3,87414848;2,158588479;0,824621125;3,883297568;2,209072203;0,2;0,8;0,142066483;0,816147335
1,013693443;3,887869359;1,936654749;1,019803903;3,929376541;2,009975124;0,2;1;0,168276425;1,032505071
1,221467869;3,873543163;1,695722935;1,216552506;3,984971769;1,811077028;0,2;1,2;0,226151343;1,260632537
